StudentID,Name,Section,Gender,Age,StudyHours,AttendancePercent,Marks,Midterm,Final,ExtraCurricular
S00062,Drew Kumar,D,F,18,8.63,98.0,57,34,31,No
S00063,Sydney Lopez,A,M,16,4.7,92.0,26,20,15,No
S00064,Quinn Müller,C,M,19,4.97,90.5,15,0,3,No
S00065,Alex Iyer,D,F,14,0.81,76.2,0,7,4,No
S00066,Kendall Martinez,D,F,17,10.33,81.5,54,31,28,Yes
S00067,Robin Iyer,D,M,15,8.66,95.3,66,30,30,Yes
S00068,Jamie Das,C,M,17,5.59,92.0,33,7,16,Yes
S00069,Riley Chen,A,F,15,6.6,93.1,46,27,19,Yes
S00070,Alex Martinez,D,M,19,0.0,92.4,8,2,11,No
S00071,Peyton Smith,A,F,19,4.54,97.0,43,23,35,No
S00072,Peyton Iyer,C,M,19,10.0,86.2,66,43,38,No
S00073,Jamie Lopez,B,F,15,8.94,88.8,62,29,35,No
S00074,Blake Johnson,D,F,17,6.99,80.8,25,6,15,No
S00075,Casey Jones,C,F,19,5.96,79.1,35,14,26,No
S00076,Riley Müller,A,M,18,8.39,76.5,51,18,35,No
S00077,Peyton Patel,D,M,15,5.16,81.8,34,18,18,Yes
S00078,Blake Williams,A,F,15,1.01,98.9,22,5,14,No
S00079,Hayden Patel,B,M,17,5.98,77.1,33,12,22,No
S00080,Taylor Jones,D,M,15,7.21,85.9,36,8,13,No
S00081,Jamie Garcia,D,F,15,9.37,78.9,37,16,28,Yes
S00082,Sam Garcia,A,M,19,1.68,83.8,9,5,15,Yes
S00083,Charlie Singh,D,F,17,5.63,89.2,57,10,38,No
S00084,Jordan Ali,C,F,19,5.77,83.1,30,15,9,No
S00085,Jordan Müller,C,M,19,2.7,95.6,8,3,0,No
S00086,Casey Nguyen,B,F,17,7.46,98.7,55,20,35,Yes
S00087,Hayden Müller,C,M,14,8.24,72.3,49,34,22,No
S00088,Riley Martinez,B,M,19,5.13,83.2,41,24,24,No
S00089,Peyton Kumar,A,M,18,12.17,88.4,72,26,49,No
S00090,Parker Johnson,A,F,18,5.04,95.9,42,24,19,No
S00091,Kendall Johnson,B,F,15,4.66,84.8,44,27,22,No
S00092,Jamie Khan,C,M,18,4.57,87.9,24,12,15,No
S00093,Cameron Chen,C,F,15,3.55,79.9,14,8,0,Yes
S00094,Peyton Chen,B,F,14,4.32,77.3,16,9,4,No
S00095,Taylor Garcia,B,F,17,1.7,98.1,18,0,10,No
S00096,Avery Singh,A,M,17,5.43,75.2,41,17,21,No
S00097,Robin Patel,B,M,17,6.17,100.0,47,20,30,No
S00098,Charlie Müller,C,M,18,0.0,93.1,13,14,24,No
S00099,Avery Silva,B,O,14,5.69,92.8,23,12,13,No
S00100,Avery Patel,B,F,18,6.13,92.0,34,14,14,No
S00101,Jordan Shah,B,M,18,7.54,86.2,29,13,24,Yes
S00102,Avery Singh,A,F,14,9.61,90.7,66,36,27,Yes
S00103,Sam Williams,B,M,14,8.55,86.7,62,27,26,Yes
S00104,Jordan Lopez,D,M,14,4.14,91.9,36,12,16,Yes
S00105,Avery Martinez,D,F,14,3.79,87.8,18,6,8,Yes
S00106,Hayden Johnson,D,F,17,7.74,81.3,55,30,27,No
S00107,Kendall Nguyen,C,O,16,4.36,81.9,25,14,14,No
S00108,Charlie Silva,C,F,16,2.32,81.1,6,3,5,No
S00109,Hayden Garcia,B,M,14,13.12,94.8,68,32,44,No
S00110,Hayden Das,D,O,16,5.07,83.7,27,9,15,No
S00111,Morgan Iyer,A,M,16,4.12,74.6,23,9,9,No
S00112,Taylor Das,D,F,14,0.0,90.8,7,0,10,Yes
S00113,Cameron Das,D,F,16,8.55,98.6,43,18,19,No
S00114,Parker Chen,C,M,18,3.04,93.4,34,23,9,No
S00115,Sam Iyer,C,F,15,6.09,83.8,35,9,26,Yes
S00116,Sam Khan,A,F,15,8.91,76.9,42,15,30,Yes
S00117,Robin Iyer,C,F,14,3.08,87.1,31,6,12,No
S00118,Avery Johnson,A,F,17,6.24,86.9,28,4,13,Yes
S00119,Morgan Müller,C,M,14,10.57,81.2,44,19,19,No
S00120,Sydney Nguyen,D,M,17,0.0,91.9,19,5,12,No
S00121,Parker Smith,D,F,15,3.57,100.0,45,31,35,No
S00122,Quinn Chen,A,F,14,3.29,89.6,21,8,16,No
S00123,Avery Singh,A,F,19,5.44,89.1,34,23,25,No
S00124,Sydney Müller,C,M,18,5.86,81.4,25,17,19,No
S00125,Taylor Shah,C,M,16,2.82,97.8,25,10,14,Yes
S00126,Kendall Patel,A,M,17,4.04,87.5,23,23,19,No
S00127,Jordan Garcia,A,M,19,3.68,83.9,23,12,17,No
S00128,Riley Das,D,F,16,4.95,88.4,35,25,28,No
S00129,Hayden Ali,D,F,16,6.65,91.3,33,23,15,Yes
S00130,Morgan Khan,A,F,14,8.73,89.0,48,24,16,Yes
S00131,Sam Smith,D,F,16,9.17,96.4,42,23,29,No
S00132,Drew Patel,B,M,18,7.96,90.7,45,24,27,No
S00133,Drew Martinez,C,M,19,3.38,86.0,23,3,11,No
S00134,Sydney Brown,D,M,16,5.99,90.8,40,18,21,Yes
S00135,Parker Müller,B,F,14,13.12,91.5,76,41,57,No
S00136,Hayden Nguyen,A,F,18,9.04,78.9,56,34,27,No
S00137,Morgan Brown,D,M,15,4.68,96.0,21,5,6,Yes
S00138,Morgan Shah,A,F,19,10.75,85.9,48,25,27,No
S00139,Charlie Müller,C,M,16,4.84,86.1,35,17,26,No
S00140,Sam Williams,A,F,14,3.99,93.3,13,5,21,Yes
S00141,Sam Shah,B,F,15,10.19,93.2,62,30,38,No
S00142,Charlie Ali,A,M,15,2.07,83.1,6,4,0,No
S00143,Peyton Lopez,B,M,17,0.26,93.6,23,14,24,No
S00144,Riley Shah,D,M,18,8.82,84.1,52,32,28,No
S00145,Peyton Singh,D,M,16,6.08,100.0,41,23,18,Yes
S00146,Riley Singh,B,F,14,6.38,82.2,47,23,19,Yes
S00147,Blake Singh,C,F,17,4.92,89.7,24,22,18,No
S00148,Avery Khan,C,M,18,5.28,82.5,24,17,15,Yes
S00149,Taylor Silva,C,F,17,4.63,100.0,25,11,16,No
S00150,Avery Silva,D,M,19,4.12,79.3,17,0,17,No
S00151,Blake Shah,D,M,18,4.85,91.7,33,9,13,Yes
S00152,Blake Singh,C,M,18,4.76,82.9,33,20,26,No
S00153,Parker Silva,A,F,16,3.51,85.5,31,10,14,Yes
S00154,Charlie Lopez,C,M,18,4.36,91.2,16,1,22,Yes
S00155,Robin Martinez,A,F,17,0.0,96.6,9,0,9,No
S00156,Morgan Williams,C,M,18,8.05,99.4,43,15,18,No
S00157,Avery Martinez,A,F,16,7.17,77.2,37,22,8,Yes
S00158,Drew Nguyen,D,F,16,5.75,89.9,55,24,35,No
S00159,Jamie Chen,C,M,19,6.71,98.2,47,13,24,No
S00160,Robin Singh,C,F,17,6.82,76.2,44,20,23,No
S00161,Alex Chen,B,F,15,3.83,90.2,43,21,28,No
S00162,Blake Silva,C,M,15,4.4,88.0,38,14,27,No
S00163,Taylor Singh,A,M,18,7.58,90.9,43,26,31,Yes
S00164,Kendall Johnson,B,M,19,6.62,82.6,28,10,8,Yes
S00165,Peyton Martinez,C,F,14,12.13,78.0,64,35,44,No
S00166,Casey Jones,C,M,18,10.86,74.6,52,27,25,No
S00167,Jordan Garcia,D,M,19,8.8,94.8,42,24,10,Yes
S00168,Cameron Brown,B,M,17,3.71,95.7,31,7,10,No
S00169,Riley Chen,A,F,17,4.31,90.1,32,15,19,Yes
S00170,Kendall Brown,C,F,17,2.99,84.3,35,15,13,No
S00171,Blake Lopez,D,F,17,6.84,76.6,34,7,18,Yes
S00172,Alex Müller,C,F,17,0.0,91.9,11,12,8,No
S00173,Jamie Iyer,B,M,19,4.62,80.3,22,5,11,No
S00174,Casey Martinez,A,F,19,5.08,83.0,38,13,18,Yes
S00175,Taylor Iyer,D,O,16,1.43,83.9,12,0,0,No
S00176,Kendall Nguyen,C,F,15,8.39,86.6,39,22,22,No
S00177,Quinn Brown,A,F,17,2.58,82.7,18,0,0,No
S00178,Blake Johnson,C,F,14,6.8,88.2,44,24,20,No
S00179,Robin Johnson,C,M,19,14.35,83.6,79,42,38,No
S00180,Quinn Lopez,B,M,14,1.17,92.9,23,14,11,No
S00181,Hayden Martinez,B,M,14,5.55,95.2,26,16,13,Yes
S00182,Sam Singh,C,M,14,4.78,88.8,25,16,20,No
S00183,Parker Martinez,D,F,16,4.19,91.2,35,10,29,No
S00184,Sam Patel,B,M,19,8.28,100.0,48,30,20,Yes
S00185,Robin Nguyen,B,F,14,9.32,79.8,52,21,41,Yes
S00186,Quinn Smith,B,M,17,8.31,79.4,26,11,10,No
S00187,Sydney Müller,B,F,18,3.83,92.9,50,21,29,No
S00188,Parker Müller,A,F,14,13.3,100.0,76,37,45,No
S00189,Alex Iyer,C,F,16,0.69,86.2,19,5,25,Yes
S00190,Jordan Nguyen,A,F,19,2.9,100.0,24,11,10,No
S00191,Kendall Shah,A,O,16,6.51,88.7,43,12,13,No
S00192,Cameron Silva,C,F,14,6.27,83.2,49,29,36,No
S00193,Kendall Nguyen,B,M,19,7.46,81.1,51,27,23,Yes
S00194,Parker Nguyen,D,M,18,10.74,92.4,61,26,31,No
S00195,Sam Brown,B,M,14,5.64,81.6,32,12,11,Yes
S00196,Cameron Shah,B,F,16,6.34,88.6,47,25,24,No
S00197,Cameron Johnson,B,F,15,4.22,99.1,51,19,23,Yes
S00198,Avery Iyer,B,F,17,7.76,85.9,47,22,30,No
S00199,Cameron Müller,D,M,16,5.04,97.2,52,30,29,Yes
S00200,Parker Kumar,A,F,19,5.04,79.5,27,7,11,Yes
S00201,Casey Garcia,D,M,14,7.63,84.3,51,25,34,No
S00202,Riley Smith,C,M,17,9.1,78.1,58,28,33,Yes
S00203,Parker Patel,B,F,14,0.0,88.5,4,1,0,No
S00204,Riley Williams,D,F,19,7.08,93.5,39,15,27,No
S00205,Parker Garcia,C,F,14,5.19,88.5,43,27,25,No
S00206,Quinn Smith,D,M,15,8.84,96.6,51,19,36,No
S00207,Taylor Khan,B,F,17,5.25,82.8,24,0,14,No
S00208,Sam Ali,B,F,17,9.9,89.6,52,27,24,Yes
S00209,Avery Johnson,C,F,19,3.97,84.3,21,2,10,No
S00210,Sydney Jones,D,M,15,0.0,90.5,15,11,13,No
S00211,Jamie Garcia,B,F,16,9.15,91.5,58,34,27,Yes
S00212,Avery Patel,C,M,14,3.47,92.1,32,18,15,Yes
S00213,Morgan Khan,D,F,18,1.26,80.5,14,13,6,No
S00214,Robin Martinez,D,M,14,6.05,81.8,30,26,10,Yes
S00215,Jordan Martinez,C,F,14,5.28,83.1,37,22,16,Yes
S00216,Cameron Lopez,D,O,16,8.47,86.3,58,28,33,No
S00217,Drew Müller,D,M,14,8.68,88.6,56,35,38,No
S00218,Robin Patel,B,O,15,6.29,93.0,44,30,26,No
S00219,Taylor Martinez,B,M,15,3.35,82.1,15,17,8,Yes
S00220,Riley Silva,B,M,17,6.86,76.8,39,15,16,No
S00221,Quinn Shah,C,F,19,6.5,100.0,38,9,27,No
S00222,Taylor Kumar,A,M,18,7.71,80.1,42,16,26,No
S00223,Parker Jones,D,F,14,3.38,93.9,13,10,3,Yes
S00224,Robin Das,C,F,14,4.8,88.2,18,9,15,No
S00225,Blake Lopez,A,F,16,7.53,89.8,44,19,28,Yes
S00226,Taylor Khan,A,M,19,9.74,88.0,52,27,24,No
S00227,Charlie Johnson,C,F,15,8.9,85.3,51,14,27,Yes
S00228,Quinn Shah,A,M,18,6.25,91.2,39,18,18,No
S00229,Parker Patel,B,M,17,4.54,84.9,29,20,32,No
S00230,Peyton Müller,C,F,15,7.21,96.2,51,26,31,Yes
S00231,Morgan Jones,D,F,19,2.73,92.0,19,13,12,No
S00232,Parker Singh,B,M,17,3.55,92.2,25,21,17,No
S00233,Robin Kumar,D,O,16,10.53,84.5,70,31,47,No
S00234,Robin Iyer,A,M,16,7.21,86.3,43,15,23,No
S00235,Jamie Lopez,B,F,14,4.96,79.7,27,19,11,No
S00236,Jamie Das,D,F,19,8.49,85.5,49,29,32,No
S00237,Robin Khan,C,M,18,9.86,80.7,52,27,28,Yes
S00238,Jamie Müller,A,M,17,4.67,97.2,29,12,10,Yes
S00239,Casey Johnson,D,F,15,4.72,88.4,23,10,5,Yes
S00240,Parker Khan,A,M,19,4.34,89.2,23,3,22,No
S00241,Riley Kumar,D,M,19,8.89,86.4,58,33,33,Yes
S00242,Charlie Brown,C,M,16,8.92,89.4,47,28,22,No
S00243,Drew Müller,B,F,14,10.16,100.0,62,20,33,No
S00244,Alex Brown,D,F,14,9.03,85.9,57,31,36,No
S00245,Jamie Johnson,A,M,17,1.1,83.4,9,6,3,Yes
S00246,Parker Silva,C,M,16,6.84,91.7,48,15,18,Yes
S00247,Blake Williams,B,M,19,2.82,70.3,2,0,3,Yes
S00248,Sydney Chen,A,M,18,4.46,88.4,29,15,23,No
S00249,Sydney Johnson,C,F,16,6.51,85.4,39,15,28,No
S00250,Peyton Ali,A,F,17,8.51,81.1,47,32,22,No
S00251,Riley Singh,C,F,17,3.33,91.6,12,11,14,Yes
S00252,Jamie Lopez,B,F,16,0.0,88.4,17,10,11,Yes
S00253,Blake Williams,B,M,17,6.54,75.4,28,16,23,Yes
S00254,Jordan Garcia,A,F,16,13.93,83.5,78,43,46,Yes
S00255,Jamie Garcia,C,O,15,5.39,67.8,26,17,5,No
S00256,Morgan Nguyen,D,F,16,6.14,90.1,47,24,36,No
S00257,Alex Shah,B,F,16,11.35,90.0,82,31,45,Yes
S00258,Avery Ali,D,M,17,7.77,82.4,33,33,22,Yes
S00259,Blake Singh,D,F,17,6.65,91.8,37,10,12,No
S00260,Sydney Das,A,M,14,7.33,79.0,42,17,26,No
S00261,Charlie Johnson,A,F,14,6.75,81.2,29,3,23,No
S00262,Drew Ali,A,F,15,2.58,90.9,28,16,27,No
S00263,Drew Garcia,C,F,14,1.98,83.2,22,11,21,Yes
S00264,Casey Patel,B,F,16,11.66,87.6,70,36,42,Yes
S00265,Taylor Das,B,F,17,6.55,84.1,40,8,13,Yes
S00266,Avery Smith,D,M,14,6.3,85.1,48,28,27,Yes
S00267,Peyton Chen,A,M,14,5.73,85.4,26,7,11,Yes
S00268,Sam Müller,C,F,15,8.34,83.1,47,20,27,No
S00269,Avery Iyer,B,F,19,13.62,90.1,70,37,31,No
S00270,Sydney Nguyen,C,F,15,7.57,83.6,50,24,26,No
S00271,Sydney Lopez,A,F,16,4.24,88.1,14,8,5,Yes
S00272,Kendall Kumar,A,M,17,5.6,82.9,33,20,15,No
S00273,Robin Chen,B,F,15,9.21,77.3,52,26,25,Yes
S00274,Blake Lopez,D,M,14,4.25,94.4,23,8,12,Yes
S00275,Parker Müller,D,F,17,8.56,91.5,46,20,27,Yes
S00276,Sydney Smith,A,M,17,0.0,100.0,12,7,0,No
S00277,Hayden Chen,A,F,14,5.31,80.7,38,12,7,No
S00278,Quinn Garcia,D,M,15,7.88,86.5,38,23,19,No
S00279,Quinn Lopez,A,F,14,9.81,87.1,49,24,26,Yes
S00280,Hayden Garcia,B,F,19,3.54,94.9,37,17,21,No
S00281,Quinn Chen,B,F,17,1.49,84.5,11,12,2,Yes
S00282,Jordan Brown,C,F,18,5.22,79.8,24,10,13,No
S00283,Avery Martinez,D,F,18,2.62,96.5,30,12,17,No
S00284,Robin Williams,A,M,16,5.55,85.8,30,11,12,No
S00285,Kendall Singh,C,F,14,5.98,94.2,48,24,32,Yes
S00286,Casey Nguyen,B,M,14,2.04,93.3,14,8,9,No
S00287,Avery Khan,D,F,16,8.41,87.8,48,18,30,No
S00288,Casey Johnson,B,M,16,5.53,86.8,42,18,24,Yes
S00289,Jordan Das,A,O,16,9.24,85.3,51,19,41,Yes
S00290,Parker Williams,C,M,17,0.47,87.9,16,3,12,No
S00291,Kendall Chen,A,F,19,2.95,94.0,24,0,10,No
S00292,Parker Shah,A,F,14,7.55,82.4,59,25,37,Yes
S00293,Morgan Das,D,F,17,3.6,88.8,38,7,11,No
S00294,Drew Silva,D,F,16,5.51,80.2,21,7,12,No
S00295,Alex Silva,A,M,14,6.0,81.0,39,14,23,No
S00296,Drew Ali,D,M,17,6.47,87.8,33,21,19,No
S00297,Alex Jones,C,M,19,3.97,74.3,23,4,11,No
S00298,Jamie Khan,C,M,17,6.45,100.0,45,16,19,Yes
S00299,Parker Müller,A,F,19,3.65,79.6,14,4,3,No
S00300,Kendall Kumar,C,F,16,8.02,87.7,56,22,31,Yes
S00301,Avery Ali,A,M,19,5.66,96.2,40,26,15,Yes
S00302,Avery Martinez,C,M,14,6.47,82.0,35,9,30,No
S00303,Parker Ali,B,M,16,13.71,71.9,66,27,20,No
S00304,Alex Khan,A,M,14,2.68,84.9,20,11,9,Yes
S00305,Robin Khan,C,F,18,10.17,81.9,59,32,33,No
S00306,Riley Chen,B,O,15,0.0,72.1,0,0,3,No
S00307,Casey Kumar,A,M,19,0.0,90.0,0,0,0,Yes
S00308,Kendall Patel,C,F,15,2.28,89.4,19,8,17,Yes
S00309,Drew Silva,C,F,15,2.47,96.0,11,13,0,No
S00310,Charlie Patel,B,F,19,6.61,80.2,35,17,16,Yes
S00311,Jordan Das,D,F,16,6.87,76.8,26,13,18,No
S00312,Casey Chen,D,F,18,5.24,85.2,21,3,18,No
S00313,Riley Shah,B,M,14,5.55,87.4,45,13,16,No
S00314,Quinn Khan,B,M,17,7.58,94.4,45,20,41,Yes
S00315,Robin Johnson,A,F,14,8.5,97.9,50,14,22,No
S00316,Sydney Williams,D,M,17,2.02,96.5,25,16,6,Yes
S00317,Robin Khan,A,M,14,4.91,89.9,30,8,20,Yes
S00318,Quinn Das,C,M,19,5.79,93.6,55,25,28,Yes
S00319,Quinn Singh,B,F,18,7.46,83.5,41,7,20,Yes
S00320,Hayden Patel,A,M,17,3.68,89.2,29,11,20,No
S00321,Kendall Shah,B,F,16,5.73,79.7,40,11,13,Yes
S00322,Cameron Garcia,A,F,14,6.09,88.4,51,9,18,No
S00323,Jordan Shah,C,F,14,3.89,88.6,21,13,8,Yes
S00324,Alex Garcia,C,M,17,3.82,100.0,28,22,22,Yes
S00325,Morgan Patel,D,F,16,6.3,86.4,48,28,23,No
S00326,Blake Nguyen,D,M,16,5.61,88.6,42,23,33,No
S00327,Avery Nguyen,C,M,19,7.5,89.7,54,22,37,Yes
S00328,Hayden Iyer,A,F,19,2.84,84.8,9,9,7,Yes
S00329,Charlie Johnson,B,F,19,4.95,82.4,42,26,25,Yes
S00330,Sydney Martinez,C,M,19,5.31,97.1,31,15,19,Yes
S00331,Cameron Smith,C,M,19,8.44,81.1,48,14,27,No
S00332,Blake Kumar,A,M,19,3.18,78.7,18,5,8,No
S00333,Taylor Smith,C,F,18,6.7,92.8,36,26,18,No
S00334,Jamie Iyer,C,F,16,6.76,96.1,33,14,12,No
S00335,Charlie Patel,A,F,19,10.94,84.8,47,1,13,No
S00336,Jamie Silva,C,M,16,2.98,84.9,22,1,19,No
S00337,Drew Khan,D,F,16,4.03,90.0,16,5,10,No
S00338,Morgan Singh,D,M,15,3.19,83.0,12,12,7,No
S00339,Charlie Garcia,D,O,18,0.99,82.5,8,2,7,No
S00340,Taylor Brown,D,F,19,11.29,94.2,45,27,20,No
S00341,Blake Iyer,C,F,14,2.28,92.2,27,9,9,No
S00342,Charlie Shah,B,F,17,3.55,97.2,9,0,3,No
S00343,Cameron Müller,D,M,14,9.95,79.2,53,21,37,No
S00344,Parker Jones,D,M,18,0.74,84.5,10,7,0,Yes
S00345,Jordan Lopez,C,M,17,8.27,90.0,54,26,14,Yes
S00346,Robin Patel,C,M,18,1.76,81.5,13,0,4,Yes
S00347,Parker Ali,A,F,16,9.74,92.5,74,31,48,No
S00348,Taylor Das,D,M,17,0.0,96.6,12,22,0,No
S00349,Cameron Chen,A,F,16,0.74,83.9,18,1,3,Yes
S00350,Casey Das,D,M,14,4.37,88.3,23,14,14,No
S00351,Riley Lopez,B,F,14,8.92,98.2,57,13,47,No
S00352,Quinn Kumar,C,M,17,5.91,100.0,54,29,22,No
S00353,Kendall Ali,C,O,17,4.99,93.2,32,9,9,No
S00354,Sydney Das,A,F,19,10.04,92.2,61,30,36,No
S00355,Charlie Martinez,A,F,18,12.47,82.0,75,26,48,Yes
S00356,Robin Garcia,C,O,19,8.02,90.5,42,21,19,No
S00357,Jordan Martinez,C,M,18,4.13,91.9,12,0,0,Yes
S00358,Sydney Garcia,C,M,19,4.75,86.5,32,10,20,No
S00359,Sydney Silva,D,F,16,2.13,83.8,24,13,17,No
S00360,Blake Khan,D,M,17,6.3,79.0,24,8,24,Yes
S00361,Robin Patel,B,F,14,1.11,75.8,13,8,11,No
S00362,Hayden Williams,D,F,18,7.66,74.4,45,19,30,Yes
S00363,Riley Ali,C,M,18,12.02,92.1,51,23,26,No
S00364,Morgan Jones,D,F,14,8.15,89.0,41,21,37,No
S00365,Quinn Williams,A,M,19,4.59,84.6,26,10,12,No
S00366,Quinn Kumar,C,M,18,7.58,85.7,43,13,20,No
S00367,Quinn Müller,D,O,16,10.86,89.5,56,22,42,No
S00368,Alex Lopez,C,F,17,10.71,86.8,54,31,21,Yes
S00369,Morgan Singh,A,M,14,2.99,78.6,32,15,7,No
S00370,Avery Das,A,F,17,7.53,94.4,47,16,27,No
S00371,Hayden Müller,D,M,18,5.53,90.1,30,16,16,No
S00372,Avery Ali,C,F,18,8.42,89.9,50,25,26,No
S00373,Hayden Chen,B,F,14,7.15,93.9,50,26,33,Yes
S00374,Alex Singh,A,M,16,0.0,82.3,5,0,0,No
S00375,Jamie Garcia,B,F,15,4.96,96.5,34,11,19,No
S00376,Drew Garcia,D,F,14,6.6,87.0,35,12,17,No
S00377,Jamie Silva,A,F,15,1.7,94.2,13,4,2,No
S00378,Cameron Ali,B,M,19,7.74,93.1,43,23,23,Yes
S00379,Kendall Lopez,A,M,15,1.43,80.7,14,8,13,No
S00380,Cameron Das,B,F,16,3.6,91.5,19,11,23,No
S00381,Kendall Williams,C,F,19,10.02,90.3,61,36,37,No
S00382,Cameron Chen,C,F,15,3.35,88.2,35,20,4,Yes
S00383,Quinn Brown,D,M,19,7.72,87.3,48,21,26,No
S00384,Quinn Garcia,A,M,15,0.74,87.4,8,0,5,Yes
S00385,Taylor Johnson,B,M,16,12.24,93.7,60,23,39,Yes
S00386,Robin Iyer,D,M,15,5.09,92.0,47,20,27,Yes
S00387,Kendall Smith,C,M,15,6.29,88.2,29,18,23,No
S00388,Morgan Johnson,C,M,15,6.54,77.6,43,19,26,Yes
S00389,Hayden Martinez,D,M,14,7.82,91.5,53,20,39,No
S00390,Charlie Lopez,A,M,14,1.44,93.1,15,2,6,Yes
S00391,Blake Brown,B,M,14,5.98,100.0,40,18,23,Yes
S00392,Taylor Johnson,C,F,16,4.02,95.5,16,13,14,No
S00393,Jamie Garcia,D,M,19,0.93,74.7,9,14,2,No
S00394,Cameron Smith,C,M,18,8.96,88.5,57,24,27,No
S00395,Jamie Patel,C,M,15,4.94,100.0,28,12,12,Yes
S00396,Kendall Nguyen,B,M,15,6.73,92.4,41,11,18,Yes
S00397,Quinn Shah,A,F,16,6.54,90.3,41,30,26,No
S00398,Sam Müller,A,M,15,5.0,94.3,39,9,10,No
S00399,Jamie Nguyen,B,M,14,11.93,83.6,65,36,26,No
S00400,Hayden Iyer,D,M,18,5.86,91.3,25,9,25,No
